"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
436,"1300","Loyaute Is.","",31,6,"Loyalty Is.",1010,239
436,"1301","","",31,6,"Loyauté Is.",1011,239
352,"1302","","",27,4,"Lucipara Is.",1012,194
438,"1303","","",27,4,"Lusancay Is.",1013,240
144,"1308","Macau","",22,3,"Macao",1018,63
298,"1309","","",30,5,"Macauley I.",1019,155
327,"498","Lesotho","",13,2,"Basutoland",213,173
461,"499","","",27,4,"Batan Is.",214,262
476,"494","","",5,1,"Bashkiriya",209,276
546,"495","Marotiri","",32,6,"Bass Islets",210,330
340,"496","","",15,2,"Bassas da India",211,183
321,"497","","",46,8,"Basse Terre",212,172
333,"490","","",27,4,"Barat Daya Is.",205,176
317,"491","","",46,8,"Barbuda",206,172
603,"492","","",12,2,"Barotseland",207,368
34,"493","","",26,4,"Barren I.",208,13
233,"24","","",21,3,"Bahrain",23,124
56,"26","","",25,4,"Bangladesh",24,28
579,"27","","",46,8,"Barbados",25,356
51,"20","","",2,1,"Austria",19,24
530,"21","Azerbaydzhan","",19,3,"Azerbaijan",20,319
53,"22","","self-governing I. Region of Portugal",7,2,"Azores",21,25
54,"23","","",46,8,"Bahamas",22,26
516,"28","Bjornoya","I. of Svalbard (to Norway)",1,1,"Bear I.",26,310
59,"29","","",2,1,"Belgium",27,31
475,"1703","","",5,1,"Penza",1410,275
205,"1875","","",45,8,"Salvador, El",1582,101
90,"1709","","",49,8,"Pernambuco",1416,46
30,"7","","",6,2,"Algeria",7,9
476,"1879","","",5,1,"Samara",1586,276
567,"2288","","",26,4,"Vietnam, South",1995,347
320,"2289","","",46,8,"Virgin Gorda",1996,172
511,"2050","","U.K. Dependent Territory",14,2,"St.Helena",1757,305
568,"2280","","",46,8,"Venezuelan Antilles",1987,348
382,"2281","","",44,7,"Veracruz",1988,208
136,"2282","","",22,3,"Vereker Banks",1989,63
565,"2283","","",40,7,"Vermont",1990,345
566,"2284","","",29,5,"Victoria",1991,346
467,"2285","","",46,8,"Vieques I.",1992,268
567,"2286","","",26,4,"Vietnam",1993,347
567,"2287","","",26,4,"Vietnam, North",1994,347
583,"2056","","",46,8,"St.Lucia",1763,356
524,"2378","","",11,2,"Zanzibar",2085,316
587,"2379","Zemlya Frantsa-Iosifa","",16,3,"Zemlya Franz Josef",2086,359
602,"2374","","",9,2,"Zaire",2081,367
232,"2375","","",4,1,"Zakinthos",2082,123
603,"2376","","",12,2,"Zambia",2083,368
232,"2377","Zakinthos","",4,1,"Zante",2084,123
601,"2370","","",35,7,"Yukon",2077,366
119,"2371","","",22,3,"Yunnan",2078,57
381,"2372","","",44,7,"Zacatecas",2079,207
232,"2373","","",4,1,"Zafora",2080,123
141,"1087","","",22,3,"Jiangsu",798,63
300,"1086","Yevreysk","",17,3,"Jewish Autonomous Region",797,157
214,"1085","","",3,1,"Jersey",796,110
493,"1876","","",7,2,"Salvage Is.",1583,291
54,"1877","","",46,8,"Samana Cay",1584,26
22,"1874","","",50,8,"Salta",1581,5
291,"1084","","excluding Bali",27,4,"Jawa",795,148
427,"1872","","",24,3,"Sakishima-gunto",1579,231
198,"1873","","",32,6,"Sala y Gomez",1580,97
291,"1870","","",27,4,"Sakala",1577,148
481,"1871","","",17,3,"Sakhalin",1578,281
291,"1083","Jawa","",27,4,"Java",794,148
461,"1878","","",27,4,"Samar",1585,262
329,"1082","","",32,6,"Jarvis I.",793,174
593,"977","","",21,3,"Hanish al Kabir",688,364
352,"976","","",27,4,"Halmahera",687,194
182,"975","","",33,6,"Hall I.",686,83
518,"974","Media Luna, Arrecife","",46,8,"Half Moon Reefs",685,311
"","973","","including Navassa I.",46,8,"Haiti",684,128
239,"972","","excluding Navassa I.",46,8,"Haiti",683,128
120,"971","","",22,3,"Hainan",682,58
447,"970","","",24,3,"Hahajima",681,249
516,"1080","","I. Territory of Norway",1,1,"Jan Mayen I.",791,310
545,"979","","",32,6,"Hao",690,329
593,"978","Hanish al Kabir","",21,3,"Hanish Is.",689,364
380,"2118","","",44,7,"Tamaulipas",1825,207
71,"2119","","",27,4,"Tambelan Is.",1826,38
556,"2110","","",18,3,"Tadzhikistan",1817,337
543,"2111","","",31,6,"Tafahi",1818,327
488,"2112","","one of Iles sous le Vent",32,6,"Tahaa",1819,287
488,"2113","","one of Iles du Vent",32,6,"Tahiti",1820,287
523,"2114","","",24,3,"Taiwan",1821,315
288,"2115","Tok-to","",24,3,"Takeshima",1822,147
513,"2116","","",27,4,"Talaud Is.",1823,307
228,"2117","","",31,6,"Tamana",1824,119
53,"1919","","",7,2,"Sao Jorge",1626,25
232,"1918","Thira","one of Kikladhes",4,1,"Santorini",1625,123
53,"1911","","",7,2,"Santa Maria",1618,25
504,"1910","","",31,6,"Santa Isabel",1617,300
219,"1913","","[Galápagos]",48,8,"Santa Maria I.",1620,113
563,"1912","","[Vanuatu]",31,6,"Santa Maria I.",1619,343
504,"1915","Santa Isabel","",31,6,"Santa Ysabel",1622,300
111,"1914","","",41,7,"Santa Rosa I.",1621,52
23,"1917","","",50,8,"Santiago del Estero",1624,5
156,"1916","","",50,8,"Santiago",1623,69
587,"869","Zemlya Frantsa-Iosifa","",16,3,"Franz Josef Land",580,359
442,"868","","",35,7,"Franklin",579,244
55,"861","","",3,1,"Formentera",572,27
504,"860","","",31,6,"Florida Is.",571,300
523,"863","","[Asia]",24,3,"Formosa",574,315
9,"862","","[Argentina]",50,8,"Formosa",573,3
571,"865","Futuna","",31,6,"Fotuna",576,351
213,"864","","self-governing I. Territory of Denmark",1,1,"Føroyar",575,109
"","867","","including Channel Is.",3,1,"France",578,110
215,"866","","excluding Corse",3,1,"France",577,110
510,"2024","","Dependency of Falkland Is.",51,9,"South Sandwich Is.",1731,304
37,"2025","","part of British Antarctic Territory",52,9,"South Shetland Is.",1732,15
504,"2026","","",31,6,"South Solomons",1733,300
402,"2027","Namibia","",13,2,"South West Africa",1734,214
492,"2020","","",39,7,"South Dakota",1727,290
496,"2021","","Dependency of Falkland Is.",51,9,"South Georgia",1728,294
302,"2022","","",24,3,"South Korea",1729,158
37,"2023","","part of British Antarctic Territory",52,9,"South Orkney Is.",1730,15
593,"2028","","",21,3,"South Yemen",1735,364
435,"2029","","",35,7,"Southampton I.",1736,238
550,"883","","",31,6,"Funafuti",594,334
135,"882","Fujian","",22,3,"Fukien",593,63
135,"881","","",22,3,"Fujian",592,63
235,"880","Al Fajayrah","",21,3,"Fujeira",591,124
218,"887","Gabon","",9,2,"Gaboon",598,112
218,"886","","",9,2,"Gabon",597,112
563,"885","","[Vanuatu]",31,6,"Futuna",596,343
571,"884","","",31,6,"Futuna",595,351
226,"889","Rolas Is.","",9,2,"Gago Coutinho Is.",600,117
218,"888","Gabon","",9,2,"Gabun",599,112
235,"775","","",21,3,"Dubayy",486,124
235,"774","Dubavy","",21,3,"Dubai",485,124
491,"777","","",31,6,"Duff Is.",488,289
463,"776","","",32,6,"Ducie I.",487,264
195,"771","","",46,8,"Dominican Republic",482,94
580,"770","","",46,8,"Dominica",481,356
37,"773","Norwegian Antarctic Territory","",52,9,"Dronning Maud Land",484,15
136,"772","","",22,3,"Dongsha Qundao",483,63
61,"779","","off New Britain",27,4,"Duke of York Is.",490,32
545,"778","","",32,6,"Duke of Gloucester Is.",489,329
"","1043","","excluding Andaman Is., Assam, Jammu-Kashmir, Laccadive Is. and Sikkim",25,4,"India",754,137
288,"1042","","",24,3,"Inamba-jima",753,147
54,"1041","","",46,8,"Inagua Is.",752,26
534,"1040","","",51,9,"Inaccessible I.",751,320
"","1047","","",22,3,"Inner Mongolia",758,59
356,"1046","","",12,2,"Inhaca I.",757,197
"","1045","Irian Jaya, Jawa, Kalimantan, Lesser Sunda Is., Moluccas, Sulawesi and Sumatera","split between areas 6 C Malay Is. and 6 E New Guinea of Kew system",27,4,"Indonesia",756,""
275,"1044","","",40,7,"Indiana",755,138
232,"1049","Ionioi Nisoi","",4,1,"Ionian Is.",760,123
232,"1048","","",4,1,"Ioinianisia",759,123
232,"1681","","one of Kikladhes",4,1,"Paros",1388,123
309,"1680","","",24,3,"Parece Vela",1387,165
198,"1683","Easter I.","",32,6,"Pascua I.",1390,97
442,"1682","","",35,7,"Parry Is.",1389,244
197,"1685","","one of Dhodekanisos",20,3,"Patmos",1392,96
"","1684","","",50,8,"Patagonia",1391,4
545,"1687","","",32,6,"Paumotu",1394,329
564,"1686","","",47,8,"Patos I.",1393,344
225,"1689","","",9,2,"Pedra da Gale",1396,117
570,"1688","","",33,6,"Peale I.",1395,350
348,"1269","","",12,2,"Likhoma Is.",980,191
61,"1268","","",27,4,"Lihir Is.",979,32
435,"669","","",35,7,"Coats I.",380,238
372,"668","","",44,7,"Coahuila",379,207
288,"1263","Tok-to","",24,3,"Liancourt Rock",974,147
232,"1262","","one of Kikladhes",4,1,"Levitha",973,123
333,"1261","","",27,4,"Leti Is.",972,176
178,"664","","",13,2,"Ciskei",375,81
52,"1267","","",2,1,"Liechtenstein",978,24
315,"1266","","",6,2,"Libya",977,170
312,"1265","","",8,2,"Liberia",976,168
125,"1264","","",22,3,"Liaoning",975,60
121,"1469","Nei Mongol","",22,3,"Mongolian Autonomous Region",1179,59
"","1468","","",22,3,"Mongolia, Inner",1178,59
467,"1465","","",46,8,"Mona I.",1175,268
352,"1464","Maluku","",27,4,"Moluccas",1174,194
353,"1467","","",23,3,"Mongolia",1177,195
216,"1466","","",3,1,"Monaco",1176,110
558,"1461","Moldova","",5,1,"Moldaviya",1171,339
356,"1460","Mozambique","",12,2,"Moçambique",1170,197
241,"1463","","",34,6,"Molokai",1173,129
558,"1462","","",5,1,"Moldova",1172,339
343,"1317","","self-governing I. Region of Portugal",7,2,"Madeira",1027,186
342,"1316","","",15,2,"Madagascar",1026,185
37,"1315","","part of Australian Antarctic Territory",52,9,"MacRobertson Land",1025,15
337,"1314","","",51,9,"Macquarie Is.",1024,180
442,"1313","","",35,7,"Mackenzie",1023,244
224,"1312","Bioko","",9,2,"Macias Nguema Biyoga",1022,117
597,"1311","","[of former Yugoslavia]",4,1,"Macedonia",1021,365
232,"1310","Makedhonia","[Greece]",4,1,"Macedonia",1020,123
291,"1319","","",27,4,"Madura",1029,148
265,"1318","","",25,4,"Madhya Pradesh",1028,137
246,"1010","","",45,8,"Honduras",721,132
139,"1011","","U.K. Dependent Territory",22,3,"Hong Kong",722,63
597,"1335","Macedonia","",4,1,"Makedonija",1045,365
232,"1334","","",4,1,"Makedhonia",1044,123
228,"1337","Butaritari","",31,6,"Makin I.",1047,119
545,"1336","","",32,6,"Makemo",1046,329
478,"2322","","[west of Ural River]",5,1,"West Kazakhstan",2029,278
55,"1331","Mallorca","",3,1,"Majorca",1041,27
519,"1330","","",46,8,"Maiz Is.",1040,311
545,"1333","","",32,6,"Makatea",1043,329
361,"1332","","part of Ratak chain",33,6,"Majuro",1042,201
587,"2324","","",16,3,"West Siberia",2031,359
477,"2299","","",5,1,"Vologda",2006,277
478,"2298","","",5,1,"Volgograd",2005,278
210,"2293","","",31,6,"Viti Levu",2000,106
569,"2292","","",43,7,"Virginia",1999,349
320,"2291","","[British]",46,8,"Virgin Is.",1998,172
326,"2290","","[American]",46,8,"Virgin Is.",1997,172
309,"2297","Kazan-retto","",24,3,"Volcano Is.",2004,165
599,"2296","","",4,1,"Vojvodina",2003,365
475,"2295","","",5,1,"Vladimir",2002,275
61,"2294","Witu Is.","",27,4,"Vitu Is.",2001,32
37,"632","","part of British Antactic Territory",52,9,"Charcot I.",343,15
241,"1521","","",34,6,"Necker I.",1229,129
"","2369","","",4,1,"Yugoslavia",2076,365
531,"2368","","",19,3,"Yugo-Osetiya",2075,319
400,"2367","","",44,7,"Yucatán",2074,212
37,"2366","","part of Ross Dependency",52,9,"Young I.",2073,15
427,"2365","","part of Sakishima-gunto",24,3,"Yonaguni",2072,231
304,"2364","","",4,1,"Yianisadhes",2071,160
300,"2363","","",17,3,"Yevreysk",2070,157
593,"2362","","",21,3,"Yemen, People's Democratic Republic of",2069,364
"","2361","","excluding Socotra",21,3,"Yemen",2068,364
592,"2360","North Yemen","",21,3,"Yemen Arab Republic",2067,364
427,"1861","","",24,3,"Ryukyu Is.",1568,231
475,"1860","","",5,1,"Ryazan",1567,275
72,"1863","","",27,4,"Sabah",1570,38
323,"1862","","",46,8,"Saba",1569,172
430,"1865","","[Atlantic]",37,7,"Sable I.",1572,234
513,"1864","","",27,4,"Sabalana Is.",1571,307
469,"1867","","",29,5,"Saibai I.",1574,269
436,"1866","","[South Pacific]",31,6,"Sable I.",1573,239
359,"1869","","",33,6,"Saipan",1576,199
321,"1868","","",46,8,"Saintes, Iles des",1575,172
352,"964","","",27,4,"Gunungapi",675,194
238,"965","","",47,8,"Guyana",676,127
217,"966","French Guiana","",47,8,"Guyane Francais",677,111
543,"967","","",31,6,"Ha'apai Is.",678,327
259,"960","","",25,4,"Gujarat",671,137
"","961","","",9,2,"Gulf of Guinea Is.",672,117
"","962","","",21,3,"Gulf States",673,124
339,"963","","",15,2,"Gunners Quoin",674,182
307,"968","","",17,3,"Habomai-shoto",679,163
288,"969","","",24,3,"Hachijo-jima",680,147
328,"2109","","",32,6,"Tabuaeran",1816,174
35,"2108","","",26,4,"Table I.",1815,13
314,"2103","Syria","",20,3,"Syrian Arab Republic",1810,169
314,"2102","","",20,3,"Syria",1809,169
56,"2101","","",25,4,"Sylhet",1808,28
462,"2100","Manra","",31,6,"Sydney I.",1807,263
228,"2107","","",31,6,"Tabiteuea",1814,119
399,"2106","","",44,7,"Tabasco",1813,212
61,"2105","","",27,4,"Tabar Is.",1812,32
118,"2104","Sichuan","",22,3,"Szechuan",1811,57
436,"1537","","Overseas Territory of France",31,6,"New Caledonia",1244,239
167,"878","","",7,2,"Fuerteventura",589,73
568,"1240","","",46,8,"Las Aves Is.",951,348
543,"876","Tonga","",31,6,"Friendly Is.",587,327
495,"877","","",15,2,"Frigate I.",588,293
354,"874","","",6,2,"French Morocco",585,196
194,"875","Djibouti","",10,2,"French Somaliland",586,93
217,"872","","",47,8,"French Guiana",583,111
438,"1243","","",27,4,"Laughlan Is.",954,240
165,"870","","",9,2,"French Cameroons",581,71
171,"871","Congo","",9,2,"French Congo",582,76
586,"2037","Western Sahara","",6,2,"Spanish West Africa",1744,358
586,"2036","Western Sahara","",6,2,"Spanish Sahara",1743,358
354,"2035","Ifni","",6,2,"Spanish Morocco",1742,196
324,"1534","","",46,8,"Nevis",1241,172
"","2033","","excluding Baleares, Canary Is., Ceuta and Melilla; including Andorra and Gibraltar",3,1,"Spain",1740,302
508,"2032","","excluding Baleares, Canary Is., Ceuta and Melilla",3,1,"Spain",1739,302
"","2031","","split between areas 14 Central America and 15 West Indies of Kew system",46,8,"Southwest Caribbean",1738,311
604,"2030","Zimbabwe","",12,2,"Southern Rhodesia",1737,369
506,"9","","principality under Franco-Spanish sovereignty",3,1,"Andorra",9,302
504,"1245","Choiseul","",31,6,"Lauru",956,300
197,"2039","Dhodekanisos;  also Voriai Sporadhes [13 Southeastern Europe]","",20,3,"Sporadhes",1746,96
13,"1532","","",50,8,"Neuquén",1239,4
